vrefdes,vpin,refdes,pin
VCOMP0,0,P1,A2
VCOMP0,1,P1,A3
VCOMP0,2,P1,B1
VCOMP0,3,P1,B2
VCOMP0,4,P1,B3
VCOMP0,5,P1,A4
VCOMP0,6,P1,A18
VCOMP0,7,P1,A12
VCOMP0,8,P1,A15
VCOMP0,9,P1,B4
VCOMP0,10,P1,B7
VCOMP0,11,P1,B13
VCOMP0,12,P1,B18
VCOMP0,13,P1,B16
VCOMP1,0,J1,E1
VCOMP1,1,J1,E2
VCOMP1,2,J1,E3
VCOMP1,3,J1,E4
VCOMP1,4,J1,S2
VCOMP1,5,J1,S1
VCOMP1,6,J1,11
VCOMP2,0,P1,A9
VCOMP2,1,P1,A10
VCOMP2,2,P1,B8
VCOMP2,3,P1,A4
VCOMP2,4,P1,A18
VCOMP2,5,P1,A12
VCOMP2,6,P1,A15
VCOMP2,7,P1,B4
VCOMP2,8,P1,B7
VCOMP2,9,P1,B13
VCOMP2,10,P1,B18
VCOMP2,11,P1,B16
VCOMP3,0,J1,278
VCOMP3,1,J1,E3
VCOMP3,2,J1,E4
VCOMP3,3,J1,S2
VCOMP3,4,J1,S1
VCOMP3,5,J1,11
